songID,varID,lyrics_writer,song_writer,arranger
88,2,つんく,つんく,村山晋一郎
88,3,つんく,つんく,村山晋一郎
89,1,つんく,つんく,ダンス☆マン
89,2,つんく,つんく,ダンス☆マン
89,3,つんく,つんく,ダンス☆マン
89,4,つんく,つんく,米光亮
89,5,つんく,つんく,WMPTARMIGAN
89,6,つんく,つんく,ダンス☆マン
89,7,つんく,つんく,アカペラアレンジ：杉田篤史(INSPi)
89,8,つんく,つんく,平田祥一郎
90,1,つんく,つんく,鈴木俊介
91,1,つんく,つんく,村山晋一郎
91,2,つんく,つんく,村山晋一郎
91,3,つんく,つんく,村山晋一郎
91,4,つんく,つんく,村山晋一郎
92,1,つんく,つんく,Koichi Matsumoto、Toshiyuki Matsumoto
93,1,つんく,つんく,小西貴雄
93,2,つんく,つんく,小西貴雄
93,3,つんく,つんく,小西貴雄
93,4,つんく,つんく,小西貴雄
93,5,つんく,つんく,小西貴雄
93,6,つんく,つんく,小西貴雄
93,7,つんく,つんく,小西貴雄
93,8,つんく,つんく,小西貴雄
93,9,つんく,つんく,小西貴雄
93,10,つんく,つんく,小西貴雄
94,1,,つんく,つんく
95,1,,つんく,つんく
96,1,つんく,つんく,BYE II 3
97,1,つんく,つんく,下町兄弟
98,1,,つんく,つんく
99,1,つんく,つんく,鈴木俊介
100,1,,つんく,つんく
101,1,つんく,つんく,U.M.E.D.Y.
102,1,つんく,つんく,松原憲
102,2,つんく,つんく,松原憲
102,3,つんく,つんく,松原憲
103,1,,つんく,つんく
104,1,AKA$AKA,真田カオル,真田カオル
105,1,AKA$AKA,真田カオル,真田カオル
106,1,つんく,つんく,松原憲
106,2,つんく,つんく,松原憲
106,3,つんく,つんく,松原憲
106,4,つんく,つんく,WMPTARMIGAN
106,5,つんく,つんく,松原憲
106,6,つんく,つんく,松原憲
107,1,つんく,つんく,小西貴雄
108,1,森高千里,つんく,高橋諭一
109,1,森高千里,つんく,高橋諭一
110,1,つんく,つんく,小西貴雄、下町兄弟
110,2,つんく,つんく,小西貴雄、下町兄弟
110,3,つんく,つんく,小西貴雄、下町兄弟
110,4,つんく,つんく,小西貴雄、下町兄弟
111,1,つんく,つんく,ダンス☆マン
111,2,つんく,つんく,ダンス☆マン
111,3,つんく,つんく,ダンス☆マン
111,4,つんく,つんく,ダンス☆マン
111,5,つんく,つんく,米光亮
112,1,つんく,つんく,山木隆一郎
113,1,つんく,つんく,棚橋UNA信仁
114,1,つんく,つんく,高橋諭一
115,1,つんく,つんく,小西貴雄
115,2,つんく,つんく,小西貴雄
115,3,つんく,つんく,小西貴雄
115,4,つんく,つんく,小西貴雄
115,5,つんく,つんく,小西貴雄
115,6,つんく,つんく,小西貴雄
116,1,つんく,つんく,前嶋康明
116,2,つんく,つんく,前嶋康明
116,3,つんく,つんく,前嶋康明
116,4,つんく,つんく,前嶋康明
116,5,つんく,つんく,前嶋康明
117,1,つんく,つんく,河野伸
117,2,つんく,つんく,河野伸
117,3,つんく,つんく,河野伸
118,1,つんく,つんく,松原憲
119,1,つんく,つんく,前嶋康明
120,1,つんく,つんく,小西貴雄
121,1,つんく,つんく,高橋諭一
121,2,つんく,つんく,高橋諭一
122,1,つんく,つんく,BACK Ya-Low PRODUCTION
123,1,つんく,つんく,ダンス☆マン
123,2,つんく,つんく,ダンス☆マン
123,3,つんく,つんく,WMPTARMIGAN
124,1,つんく,つんく,鈴木俊介
124,2,つんく,つんく,鈴木俊介
125,1,つんく,つんく,山内薫
126,1,つんく (Rapアレンジ：U.M.E.D.Y.),つんく,鈴木俊介
127,1,つんく,つんく,ダンス☆マン (ホーンアレンジ：川松久芳)
128,1,つんく,つんく,前嶋康明
129,1,つんく,つんく,河野伸
129,2,つんく,つんく,河野伸
130,1,つんく,つんく,高橋諭一
131,1,坂口照幸,曽根幸明,竜崎孝路
132,1,麻こよみ,大谷明裕,竜崎孝路
133,1,まこと、つんく,つんく,高橋諭一
133,2,まこと、つんく,つんく,高橋諭一
134,1,つんく,つんく,和田春彦
135,1,つんく,つんく,河野伸
135,2,つんく,つんく,河野伸
135,3,つんく,つんく,河野伸
136,1,つんく,つんく,ダンス☆マン (ホーンアレンジ：川松久芳)
136,2,つんく,つんく,米光亮
136,3,つんく,つんく,ダンス☆マン (ホーンアレンジ：川松久芳)
137,1,つんく,つんく,AKIRA
138,1,つんく,つんく,前嶋康明
139,1,つんく,つんく,高橋諭一
140,1,三佳千夏,真田カオル,真田カオル
141,1,AKA$AKA,真田カオル,真田カオル
142,1,つんく,つんく,河野伸
143,1,つんく,つんく,鈴木俊介
144,1,つんく,つんく,永井ルイ
144,2,つんく,つんく,永井ルイ
145,1,つんく,つんく,前嶋康明
146,1,つんく,つんく,高橋諭一
147,1,つんく,つんく,上杉洋史
148,1,つんく,つんく,松原憲
149,1,つんく,つんく,鈴木俊介
150,1,つんく,つんく,河野伸
150,2,つんく,つんく,河野伸
151,1,つんく,つんく,前嶋康明
152,1,つんく,つんく,小西貴雄
153,1,つんく,つんく,高橋諭一
153,2,つんく,つんく,高橋諭一
154,1,つんく,つんく,高橋諭一
155,1,つんく,つんく,AKIRA
156,1,つんく,つんく,鈴木俊介
157,1,つんく,つんく,河野伸
157,2,つんく,つんく,米光亮
157,3,つんく,つんく,河野伸
157,4,つんく,つんく,河野伸
158,1,つんく,つんく,AKIRA
159,1,平家みちよ,はたけ,はたけ
160,1,つんく,つんく,河野伸
161,1,つんく,つんく,AKIRA
162,1,つんく,つんく,鈴木俊介
163,1,つんく,つんく,松原憲
164,1,つんく,つんく,高橋諭一
167,1,つんく,つんく,SATOSHI HIDAKA
167,2,つんく,つんく,SATOSHI HIDAKA
168,1,つんく,つんく,つんく
169,1,つんく,つんく,つんく
170,1,つんく,つんく,ダンス☆マン
170,2,つんく,つんく,ダンス☆マン
170,3,つんく,つんく,ダンス☆マン
170,4,つんく,つんく,米光亮
170,5,つんく,つんく,WMPTARMIGAN
170,6,つんく,つんく,ダンス☆マン
170,7,つんく,つんく,ダンス☆マン
170,8,つんく,つんく,ダンス☆マン
170,9,つんく,つんく,平田祥一郎
171,1,つんく,つんく,鈴木俊介 (ブラスアレンジ：小林正弘)
172,1,まこと,つんく,上杉洋史
173,1,まこと,つんく,上杉洋史
174,1,つんく,つんく,小西貴雄
174,2,つんく,つんく,小西貴雄
174,3,つんく,つんく,WMPTARMIGAN
175,1,つんく,つんく,永井ルイ
176,1,つんく,つんく,小西貴雄
176,2,つんく,つんく,小西貴雄
176,3,つんく,つんく,小西貴雄
177,1,つんく,つんく,河野伸
178,1,つんく,つんく,AKIRA
2237,1,つんく,つんく,野村義男
2238,1,,,
2239,1,つんく,つんく,米光亮
2240,1,,,
2241,1,つんく,つんく,米光亮
2242,1,,,
2243,1,つんく,つんく,米光亮
2244,1,,,
2245,1,つんく,つんく,
2246,1,,,
179,1,つんく,つんく,米光亮
180,1,,,
2247,1,つんく,つんく,野村義男
2248,1,,,
2249,1,つんく,つんく,野村義男
2250,1,,,
2251,1,つんく,つんく,米光亮
2252,1,,,
2253,1,つんく,つんく,米光亮
2254,1,,,
181,1,つんく,つんく,小西貴雄
182,1,中澤ゆうこ、つんく,つんく,樫原伸彦
183,1,つんく,つんく,渡部チェル
183,2,つんく,つんく,WMPTARMIGAN
183,3,つんく,つんく,渡部チェル
183,4,つんく,つんく,渡部チェル
183,5,つんく,つんく,渡部チェル
183,6,つんく,つんく,渡部チェル
183,7,つんく,つんく,渡部チェル
184,1,つんく,つんく,高橋諭一
185,1,つんく,つんく,小西貴雄
185,2,つんく,つんく,小西貴雄
186,1,つんく,つんく,高橋諭一
187,1,つんく,つんく,船山基紀
188,1,つんく,つんく,高橋諭一
189,1,つんく,つんく,鈴木Daichi秀行
189,2,つんく,つんく,鈴木Daichi秀行
189,3,つんく,つんく,鈴木Daichi秀行
190,1,つんく,つんく,高橋諭一
191,1,つんく,つんく,AKIRA
192,1,つんく,つんく,つんく、セブンHOUSE
192,2,つんく,つんく,つんく、セブンHOUSE
193,1,つんく,つんく,たいせー
194,1,つんく,つんく,小西貴雄、つんく
195,1,つんく,つんく,高橋諭一
195,2,つんく,つんく,高橋諭一
195,3,つんく,つんく,高橋諭一
196,1,つんく,つんく,鈴木俊介
197,1,つんく,つんく,渡部チェル
198,1,つんく,つんく,高橋諭一、つんく
199,1,新堂敦士,つんく,高橋諭一
200,1,つんく,つんく,小西貴雄
201,1,つんく,つんく,高橋諭一
201,2,つんく,つんく,高橋諭一
201,3,つんく,つんく,高橋諭一
201,4,つんく,つんく,高橋諭一
202,1,つんく,つんく,hasie
203,1,つんく,つんく,高橋諭一
203,2,つんく,つんく,高橋諭一
203,3,つんく,つんく,高橋諭一
204,1,つんく,つんく,ダンス☆マン (ホーンアレンジ：川松久芳)
204,2,つんく,つんく,ダンス☆マン (ホーンアレンジ：川松久芳)
204,3,つんく,つんく,米光亮
204,4,つんく,つんく,WMPTARMIGAN
204,5,つんく,つんく,大久保薫
204,6,つんく,つんく,ダンス☆マン (ホーンアレンジ：川松久芳)
205,1,つんく,つんく,鈴木俊介
205,2,つんく,つんく,鈴木俊介
205,3,つんく,つんく,鈴木俊介
205,4,つんく,つんく,鈴木俊介
206,1,つんく,つんく,前嶋康明
207,1,つんく,つんく,高橋諭一
208,1,つんく,つんく,高橋諭一
210,1,つんく,つんく,小西貴雄
211,1,つんく,つんく,高橋諭一
212,1,つんく,つんく,高橋諭一
213,1,つんく,つんく,小西貴雄
214,1,つんく,つんく,前嶋康明
215,1,つんく,つんく,前嶋康明
216,1,つんく,つんく,高橋諭一
217,1,つんく,つんく,高橋諭一
